"green","industrial","urban","water","fkt","area","sum","p_water","p_green","p_industrial","p_urban","sum_check","urban_index1","urban_index2","index1_s","index2_s"
645.643740942702,3762.82910716545,23103.8956541287,3,"67ha Afovoany Andrefana",76214.535,27515.3685022368,0.000109029977183701,0.0234648407812606,0.136753723900138,0.839672405341418,1,-1.73622688223052,-0.0271488647628396,-1.12423318003581,-0.0298396229000959
1415.03537789219,6478.1552998613,41316.9414474713,50,"67ha Atsimo",136442.483,49260.1321252248,0.00101501960800459,0.0287257730916151,0.131509093061162,0.838750114239219,1,-1.66185350808062,-0.00901388879534387,-1.07607529480418,-0.00990726665243916
2723.15199173603,9389.13156815292,42284.2587656904,181,"67ha Avaratra Andrefana",151180.55,54577.5423255793,0.00331638238527222,0.0498951010928857,0.172032875942683,0.774755640579159,1,-1.7113048323174,-0.270192495782705,-1.10809577557929,-0.29697161391541
2503.18491901044,12419.4463117032,57147.1013053586,92,"67ha Avaratra Atsinanana",199888.369,72161.7325360723,0.0012749139573944,0.0346885368607128,0.172105711368487,0.791930837813406,1,-1.83767045145671,-0.247115244462041,-1.18991942622434,-0.271607147187435
147281.266535345,47954.0133468181,174591.561131417,8799.65221861841,"Alarobia Amboniloha",1049212.229,378626.493232199,0.0232409838611634,0.388988275168116,0.126652556553695,0.461118184417026,1,1.00745577073382,0.127035153051039,0.652342857070875,0.1396257668677
1502.94509160169,3050.57879896924,23945.4555193626,3,"Ambalavao Isotry",78944.56,28501.9794099335,0.000105255847562448,0.0527312531521192,0.107030419013848,0.840133071986471,1,-1.38539978348177,0.205145987588818,-0.897067324636571,0.225478264472294
5547.97022161497,3100.46209280218,19231.170651082,214.790812849998,"Ambanin'ampamarinana",77804.18,28094.3937783491,0.00764532648558256,0.197476061074167,0.110358746918097,0.684519865522154,1,-0.359451828893272,0.26356302841023,-0.232750498683223,0.289685091692429
299591.817315378,18796.7066658853,87151.708089047,1296.83294200804,"Ambaravarankazo",1127585.396,406837.065012318,0.00318759782117879,0.736392632530438,0.0462020506054831,0.2142177190429,1,3.44699832104521,1.76499645809619,2.23198357525041,1.93992747725068
176354.765329194,63904.6680456752,275494.331338429,7210.56641252548,"Ambatobe",1448999.602,522964.331125824,0.0137878742074106,0.337221402747568,0.122196991730015,0.526793731315006,1,0.569866166376511,0.2973059037547,0.368996966339575,0.326772265857519
2344.77970115367,4662.98156632413,35191.7739986303,50.0479926019907,"Ambatokaranana",117040.829,42249.5832587101,0.00118457955657285,0.055498291824459,0.110367516237283,0.832949612381685,1,-1.3711679276234,0.162941103674668,-0.887851982601946,0.179090401423805
55253.8236015935,24170.8061631781,118256.187850768,1807.8399093356,"Ambatolampy",552956.128,199488.657524875,0.00906236941872333,0.276977269219949,0.121163811833082,0.592796549528245,1,0.12024148350702,0.311212570331943,0.0778581801484697,0.342057239652457
9027.60475396226,13534.9310670192,76750.9274895466,220.373475851258,"Ambatomainty",275749.264,99533.8367863793,0.00221405587251928,0.0906988522238664,0.135983214392388,0.771103877511226,1,-1.26546927052848,0.0493297004320199,-0.819410502627467,0.0542188290937663
301390.976596285,93243.3445406242,436724.782805959,41512.4517882578,"Ambatomaro Antsobolo",2417765.503,872871.555731126,0.0475584884347463,0.345286743069359,0.106823671740022,0.500331096755872,1,1.14607162867775,-0.453732020010376,0.742098722721041,-0.498701971264021
984.641508673318,2396.77241452061,18690.1865595129,16,"Ambatomitsangana",61184.777,22087.6004827068,0.000724388328760607,0.0445789260560117,0.108512122735882,0.846184562879346,1,-1.43852482673514,0.165362383696298,-0.9314665940682,0.181751657554111
79704.1044940539,11800.9750598445,65156.8798343204,5525.57607452851,"Ambatonakanga Ambohitsorohitra",449203.599,162187.535462747,0.0340690550526164,0.491431750699246,0.0727612946714705,0.401737899576668,1,2.10752764978056,0.365011252445452,1.36465604580566,0.401187976823705
59212.3827138228,33390.5569093347,148554.14557625,2957.21398881957,"Ambatoroka",676035.859,244114.299188227,0.0121140547630902,0.242560074976052,0.136782470426235,0.608543399834623,1,-0.148638819644409,0.0761746055755086,-0.0962458850256509,0.0837243665542861
17765.7001704353,8135.06269751128,51145.675612082,876.976730791735,"Ambatovinaky",215814.632,77923.4152108204,0.0112543415662557,0.227989239465064,0.104398179616512,0.656358239352168,1,-0.0810070161665827,0.264386458697329,-0.0524532688223164,0.290590133191077
6649.63834488522,10710.1094679884,43504.623775136,352.408038675785,"Amboasarikely Ambatomena",169559.038,61216.7796266854,0.00575672292506816,0.108624439008983,0.174953820395343,0.710665017670606,1,-1.31155377538574,-0.24015003363595,-0.849250916905289,-0.263951605554817
127286.754751664,17188.4778597368,80136.1510268387,5358.84552435582,"Amboavahy",637343.335,229970.229162595,0.0233023445855114,0.553492316006124,0.0747421869444852,0.348463152463879,1,2.36165431473738,0.742410597641664,1.52920690698647,0.815991845853705
438149.364074486,82376.8143469577,274790.271437453,4169.63453111867,"Ambodihady",2215172.907,799486.084390016,0.00521539350406578,0.548038762186563,0.103037208471,0.343708635838371,1,1.93783843887158,1.02264762663455,1.25477971388706,1.12400351930079
314629.625743198,19277.8088387944,123490.775224119,5964.58222925582,"Ambodimita",1284071.607,463362.792035368,0.0128723806308568,0.679013574571139,0.0416041364782759,0.266509908319729,1,3.22338588346691,1.4394520165255,2.08719113805969,1.58211791657292
100522.909945389,18610.1972280803,103428.567203137,6329.71146107517,"Ambodirano Ampefiloha",633938.504,228891.385837681,0.0276537775238248,0.439172970959576,0.0813057999538598,0.451867451562739,1,1.63652873824078,0.37949633142993,1.05967712310086,0.417108690207145
86900.7342793829,42658.1678251165,199682.391613522,10986.5325267562,"Amboditsiry",942641.64,340227.826244778,0.0322916930341022,0.255419244329716,0.12538118441384,0.586907878222342,1,0.260060158958421,-0.344330905195857,0.168392888336598,-0.378457974344353
167317.727248366,44841.6218803783,174730.812439597,170118.868063363,"Ambodivoanjo Ambohijatovo Fara",1543420.408,557009.029631704,0.30541491971117,0.300386023111684,0.0805042997418331,0.313694757435313,1,4.36085934053902,-6.93105480073124,2.82372241455257,-7.61800036061942
108220.962035852,8962.37090906448,46185.9284747498,3785.38082629754,"Ambodivona",463219.997,167154.642245964,0.0226459808440584,0.647430191478665,0.0536172420259592,0.276306585651317,1,3.08015220149023,1.06047342486776,1.99444516146819,1.16557827997805
3157.40829045423,5154.21071037385,20242.4690450682,307.508803963661,"Ambodivona Ankadifotsy",79956.254,28861.59684986,0.0106546011838272,0.109398253564392,0.178583698510738,0.701363446741043,1,-1.26205809573351,-0.384832090409387,-0.817201715327457,-0.422973282970919
144935.480315181,20866.9286188885,60654.68919517,10766.6223547839,"Ambodivonkely",657273.258,237223.720484023,0.0453859434158441,0.61096537909219,0.0879630779599625,0.255685599532004,1,2.95431682987103,0.209514351886642,1.91296485411648,0.23027958285065
5179.1383696433,11834.8447153495,41671.8853727142,336.622037858004,"Ambohibary Antanimena",163507.78,59022.490495565,0.00570328420626875,0.0877485569679996,0.2005141534351,0.706034005390631,1,-1.58595507721622,-0.430468920571954,-1.02692991227168,-0.473133236777558
15604.8850254598,14952.8146889674,102483.734407372,924.955845467746,"Ambohidahy",371124.306,133966.389967267,0.00690438732949173,0.116483582406547,0.111616165014381,0.76499586524958,1,-0.904878512173692,0.123868078653249,-0.58592252988284,0.136144799742476
58062.8938583924,26503.319767579,104822.489961154,2889.62604394183,"Ambohidroa",532928.802,192278.329631067,0.015028350045927,0.301973155112176,0.137838308760181,0.545160186081716,1,0.271788668847246,0.106597275866044,0.175987275973573,0.117162265966054
