"","compact_ur","industrial","ricefield","sparse_urb","water","name_transect","id_transect","sum","p_water","p_ricefield","p_industrial","p_sparse","p_compact","sum_check"
"1",10074.0914997249,11480.3276014034,4607.20463363351,7436.47959961278,679.771388913654,"Ambatomaro Equipe01",1,34278.8747232882,0.0198306214658743,0.134403613619892,0.334909698584823,0.216940598536061,0.293886295307144,0.999970827513795
"2",5531.37842037749,12632.5841319525,4524.21116478471,7685.87851950477,550.223204927519,"Ambatomaro Equipe02",2,30926.275441547,0.0177914474689163,0.146290204694574,0.408474151885153,0.248522604476949,0.178856921546605,0.999935330072198
"3",8374.05497030604,8550.20078911632,2154.12491154587,6493.90995312649,241.460993375273,"Ambatomaro Equipe03",3,25816.75161747,0.00935288052319789,0.0834390377017143,0.331188095071204,0.251538615289311,0.324365167794363,0.99988379637979
"4",4783.10150030202,8362.82308899988,5039.32104898122,7397.68595044781,548.071285694838,"Ambatomaro Equipe04",4,26135.0028744258,0.0209707757955194,0.192818844260102,0.319985543111735,0.283056634276737,0.183015151109185,0.999846948553279
"5",8671.97072637476,8102.08495149305,3912.23926180005,6378.74001441633,559.839033594413,"Ambatomaro Equipe05",5,27629.8739876786,0.0202620914537674,0.141594538706354,0.293236406185064,0.230863883681152,0.313862116426661,0.999819036452999
"6",6183.66440133345,7270.95613188542,9963.213949864,7240.40915029427,876.490728929755,"Ambatomaro Equipe06",6,31540.7343623069,0.0277891668234972,0.315884019548088,0.230525898616193,0.229557405579846,0.196053279238904,0.999809769806528
"7",7905.83587262345,8317.25073271462,5288.58153640678,7794.16408901063,695.080145064545,"Ambatomaro Equipe07",7,30007.91237582,0.0231632289630595,0.176239568756814,0.277168589022425,0.259736965084284,0.263458376364557,0.999766728191141
"8",7106.10255029096,8218.16492346831,4860.18690336692,7512.62295726559,549.130781787448,"Ambatomaro Equipe08",8,28254.2081161792,0.0194353626733923,0.172016390740175,0.290865165630402,0.265893948482797,0.251505988809567,0.999716856336334
"9",4691.21920124405,6757.86789232834,5065.87126410291,6716.23057989464,641.647243174026,"Ambatomaro Equipe09",9,23881.836180744,0.0268675841471264,0.212122352140894,0.282971034604837,0.281227562615556,0.196434611046642,0.999623144555055
"10",2960.81693838627,8245.28908007392,5511.34394102713,6487.91386372477,616.286006228067,"Ambatomaro Equipe10",10,23831.6498294402,0.0258599807667006,0.231261535834533,0.345980624047614,0.272239392159497,0.124238857132277,0.999580389940622
"11",8972.84528621685,3674.11092051823,4950.57357057349,6210.23336543587,285.256924360641,"Ambodimita Equipe02",11,24104.0200671051,0.0118344128309922,0.20538373087938,0.152427309232634,0.257643054899005,0.372255136746345,0.999543644588356
"12",6206.32554134712,3353.75929854283,1770.82290907844,3745.64018428064,222.495651375502,"Ambodimita Equipe03",12,15311.0435846245,0.014531710405353,0.115656578161447,0.219041849107575,0.244636504597377,0.405349609714361,0.999216251986112
"13",6040.13974382252,4831.00693740047,4472.82441884809,4838.43392727624,556.479793498293,"Ambodimita Equipe04",13,20751.8848208456,0.0268158674887834,0.215538224959454,0.232798465253028,0.233156359966684,0.291064633211297,0.999373550879246
"14",7356.36513022881,3068.23529695543,1254.20312121382,3511.29050563524,156.019066506997,"Ambodimita Equipe05",14,15360.1131205403,0.0101574165035517,0.0816532476923391,0.19975343103772,0.228597958757202,0.478926494388347,0.99908854837916
"15",10333.8109127788,3130.73682979494,1674.59422097533,4567.21353826763,93.7093852128601,"Ambodimita Equipe06",15,19815.0648870296,0.00472919900828584,0.0845111651424102,0.157997808619049,0.230491979930745,0.521512847507407,0.999243000207896
"16",5719.49853898055,2137.01579421669,1511.52447875893,2409.9368408648,65.9374381843954,"Ambodimita Equipe07",16,11859.9130910054,0.00555968982895859,0.127448191834161,0.180188149594234,0.203200210859261,0.482254675484785,0.9986509176014
"17",6949.96919799861,3292.15046743903,1454.69274443188,3503.55691363609,182,"Ambodimita Equipe08",17,15399.3693235056,0.0118186658282294,0.0944644364241228,0.213784759510501,0.227513013035427,0.451315183888094,0.998896058686374
"18",8657.36964608034,3934.89857328299,5146.03909704399,4588.45470234667,470.730626408476,"Ambodimita Equipe09",18,22815.4926451625,0.0206320605796029,0.225550207355926,0.172466079715237,0.201111357694902,0.379451357054784,0.999211062400451
"19",9036.43067857522,4080.63856574728,647.649516311227,3328.52684899705,39.4909024834633,"Ambodivona Equipe02",19,17151.7365121142,0.00230244339723683,0.0377599968291137,0.23791401896042,0.194063548413662,0.526852232844925,0.998892240445358
"20",14178.3165919097,4997.39457005014,753.795496949584,5015.69968716872,48.9594674259424,"Ambodivona Equipe04",20,25014.1658135041,0.00195726964436733,0.0301347445511312,0.199782579491508,0.200514369520208,0.566811489842105,0.99920045304932
"21",6794.72496119014,4422.62227935786,1215.35827491072,3526.93588335262,202.654551761691,"Ambohimanandray Equipe01",21,16183.295950573,0.012522452310125,0.0750995519468134,0.27328316140701,0.217936809295497,0.419860390735149,0.998702365694594
"22",7466.92572205071,4817.13888923438,2153.83405116358,4675.37123548635,417.820512883896,"Ambohimanandray Equipe10",22,19553.0904108189,0.021368515365362,0.110153126994792,0.246362021962984,0.2391116256947,0.381879568148428,0.998874858166266
"23",7133.41922275412,7674.33383242929,2332.52251298598,4595.32031554554,466.483000826789,"Ambohimiandra Equipe04",23,22225.0788845417,0.0209890369006179,0.1049500217796,0.345300634130349,0.206762834877573,0.320962605343806,0.998965133031946
"24",8301.38062072519,7629.26526156757,2980.46567388129,5586.20860283385,457.171037454158,"Ambohimiandra Equipe05",24,24978.491196462,0.0183025881690929,0.11932128527857,0.305433390734512,0.223640753914915,0.332341155253644,0.999039173350735
