"","fid","id_transect","Name","fkt","tr_lengh","tr_area","green","industrial","urban","water","name_transect","sum","p_water","p_green","p_industrial","p_urban","sum_check","id_fkt","Seclasse","length","area_real","area_admin","percentage covared","pcc_bac","pcc_total","population","index1","index2","pop_dens_s","area_s","pcc_s","length_s"
"1",568,1,"Ambatomaro Equipe01","Ambatomaro",1820,94950,6168.17205704277,7200.57301610215,20532.4809949571,376.648655186145,"Ambatomaro Equipe01",34277.8747232882,0.0109880982478255,0.179946163723276,0.210064745093724,0.599000992935174,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,-0.388679874189757,-1.4790707588131,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"2",563,2,"Ambatomaro Equipe02","Ambatomaro",1520,85652,5737.76899077832,6338.63453281648,18439.5938714796,408.278046472624,"Ambatomaro Equipe02",30924.275441547,0.0132025096996808,0.185542552213514,0.204972774375838,0.596282163710968,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,-0.263537904834808,-1.52764831327865,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"3",566,3,"Ambatomaro Equipe03","Ambatomaro",1489,71500,2461.26723344435,4134.75001364868,19074.9656659097,142.76870446722,"Ambatomaro Equipe03",25813.75161747,0.00553072279391572,0.0953471339585773,0.160176253142933,0.738945890104574,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,-0.868228646506869,-0.59837596364028,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"4",569,4,"Ambatomaro Equipe04","Ambatomaro",1461,72377,6263.91047897232,3395.26586735473,15975.4046632934,496.421864805277,"Ambatomaro Equipe04",26131.0028744258,0.0189974287321028,0.239711828477229,0.129932474603861,0.611358268186808,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,0.859053148385896,-0.25824594186358,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"5",567,5,"Ambatomaro Equipe05","Ambatomaro",1411,76522,4996.03004109164,4353.14200041804,17867.1416394629,408.560306706,"Ambatomaro Equipe05",27624.8739876786,0.0147895808280692,0.180852591158244,0.157580519728693,0.646777308284994,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,0.0664312419672644,-0.788652230525696,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"6",425,6,"Ambatomaro Equipe06","Ambatomaro",1544,87351,11083.9500912009,2873.85409897217,16638.7931881799,938.136983953882,"Ambatomaro Equipe06",31534.7343623069,0.0297493225462278,0.35148385789003,0.0911329731195472,0.527633846444195,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,2.31354924864554,0.269139191230928,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"7",550,7,"Ambatomaro Equipe07","Ambatomaro",1352,83102,6365.09729245628,3691.69005535368,19200.1531641352,743.97186387486,"Ambatomaro Equipe07",30000.91237582,0.0247983079499436,0.212163457321598,0.123052592838113,0.639985641890346,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,0.768429850195457,-0.755671971778056,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"8",426,8,"Ambatomaro Equipe08","Ambatomaro",1445,78239,5657.05081009529,2834.80927121127,19270.5386934806,483.809341392014,"Ambatomaro Equipe08",28246.2081161792,0.0171282934474625,0.200276468502509,0.100360701852491,0.682234536197537,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,0.693151123972293,0.217315321666403,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"9",551,9,"Ambatomaro Equipe09","Ambatomaro",1257,66125,6429.78865116258,2513.91250583055,14475.0146095553,454.120414195553,"Ambatomaro Equipe09",23872.836180744,0.0190224743619634,0.269334929561026,0.105304308495121,0.60633828758189,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,1.29874676213604,0.378542183497568,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
"10",430,10,"Ambatomaro Equipe10","Ambatomaro",1116,65978,6949.15203415556,2550.83981695563,13765.80506472,555.852913609007,"Ambatomaro Equipe10",23821.6498294402,0.0233339385638207,0.291715816658819,0.107080736859928,0.577869507917432,1,1,"Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,1.55883169377575,0.13104891654808,-0.485735998200331,0.999119583491292,-0.647081347996029,0.888245427766195
